Number;"1.274 requirements"
0;"Поддержка рабочих мест, копировально-множительной техники, систем акс/вкс."
1;"Консультирование пользователей по телефону, электронной почте."
2;"Выявление ошибок на пользовательских компьютерах, программного обеспечения, восстановление работоспособности системы при сбоях и выходе из строя ит-оборудования."
3;"Подготовка и выдача новых рабочих мест, модернизация текущих."
4;"Работа с заявками в системе helpdesk."
5;"Выполнение регламентных sla."
6;"высшее техническое образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа. "
7;"обязательно: "
8;"Знание ос windows и офисного программного обеспечения на уровне опытного пользователя."
9;"Знание основ функционирования и построения лвс."
10;"Навыки диагностики и устранения неисправности пк, комплектующих и оргтехники."
11;"прорисовка интерфейсов мобильных и web-приложений; "
12;"выработка общей концепции интерфейсов системы; "
13;"тестирование предложенных решений; "
14;"прототипирование и визуализация интерфейсов; "
15;"презентация созданного интерфейса заказчику, обоснование своих решений "
16;"Наличие портфолио по ui/ux проектированию (обязательно)."
17;"Опыт разработки пользовательских интерфейсов от 2-х лет."
18;"Высокий уровень владения графическими редакторами."
19;"Умение аргументировать свои дизайн-решения c точки зрения ui/ux."
20;"Знания тенденций в современном дизайне интерфейсов."
21;"понимание технологий web- разработки."
22;"Понимание юзабилитии процесса проектирования."
23;"Знание guideline (ios, android)."
24;"Анализ рынка, поиск новых заказчиков;"
25;"Участие в отраслевых выставках, конференциях и иных активностях для привлечения новых заказчиков;"
26;"Квалификация новых заказчиков (соответствие по размеру, бюджету, проблематике), выявление потребности заказчика и адаптация предложения;"
27;"Демонстрация продукта (совместно с техническим специалистом), подготовка плана апробации продукта заказчиком, сопровождение апробации продукта заказчиком;"
28;"Формирование ткп для заказчика, отработка возражений, заключение сделок;"
29;"Координация работ по внедрению, контроль сроков по проектам внедрения;"
30;"Мониторинг удовлетворенности заказчика, поддержка и развитие доверительных отношений после продажи;"
31;"Проработка планов по дальнейшему развитию продукта для достижений целей заказчика, upsale, продажа техподдержки."
32;"Опыт продаж продуктов и услуг в сегменте b2b с циклом продаж от года;"
33;"Готовность освоения новой предметной области;"
34;"Навыки эффективной коммуникации с людьми и результативного ведения переговоров;"
35;"Готовность к частым командировкам в разные уголки рф;"
36;"Будет плюсом: технический бэкграунд или опыт продаж технически сложных продуктов в сегменте b2b, опыт в продажах или внедрении систем типа: ecad, cad, plm, pdm, опыт руководителя или куратора проекта;"
37;"Образование: высшее"
38;"Знание ин. языков: английский приветствуется, но не обязательно"
39;"Опыт работы: участие в построении web интерфейсов, опыт координации их реализации"
40;"Профессиональные компетенции: понимание современных технологий в построении web систем, хорошие навыки управления сложными проектами и опыт внедрения этих проектов, умение работать с большими объемами данных и аналитикой"
41;"Личные качества: коммуникативные способности, системное мышление, умение налаживать и поддерживать конструктивные отношения, публичность"
42;"формирование dashboard и отчетности по различным направлениям бизнеса; "
43;"автоматизация управленческой отчетности; "
44;"подготовка аналитических и презентационных материалов для топ менеджмента компании; "
45;"анализ ключевых финансовых и натуральных показателей по различным направлениям бизнеса; "
46;"разработка методологии формирования отчетности по определенным направлениям бизнеса. "
47;"высшее экономическое/техническое образование; "
48;"хорошие аналитические способности; "
49;"высокий уровень владения excel; "
50;"навыки формирования презентационных материалов; "
51;"знание основных принципов формирования финансовой отчетности и финансового анализа; "
52;"знание языков программирования (sql, vba, python или прочее) или опыт работы в power bi, power query являются преимуществом. "
53;"Разработка архитектуры комплекснного корпоративного сервиса - продукта требования:  понимание принципов организации разработки и технической поддержки информационных систем в группе компаний;"
54;"Обязательны знания жизненного цикла разработки и сопровождения по;"
