;Required skill
0;работа в команде
1;управление временем
2;atlassian jira
3;agile project management
4;управление проектами
5;управление персоналом
6;seo
7;пользователь пк
8;smm
9;cms wordpress
10;mailerlite
11;вitrix24
12;интернет-реклама
13;social media marketing
14;sql
15;ms sql
16;1с: предприятие 8
17;1с: управление торговлей
18;1с программирование
19;1с: бухгалтерия
20;r-keeper
21;коммуникабельность
22;инициативность
23;ответственность
24;qa
25;проведение тестирований
26;api
27;ms visio
28;бизнес-анализ
29;aris
30;sql
31;системный анализ
32;agile project management
33;scrum
34;kanban
35;isales
36;разработка по
37;управление бизнес процессами
38;управление проектами
39;ведение переговоров
40;руководство коллективом
41;бизнес-планирование
42;организаторские навыки
43;управление затратами
44;управление командой
45;управление продуктом
46;управление проектами
47;управление разработкой
48;управленческое консультирование
49;анализ рынка
50;цифровизация
51;цифровые технологии
52;стратегическое планирование
53;аналитические исследования
54;информационные технологии
55;разработка продукта
56;дистанционное обучение
57;sql
58;ms sql
59;работа с базами данных
60;управление отношениями с клиентами
61;базы данных
62;пользователь пк
63;умение работать в команде
64;работа с большим объемом информации
65;работа с системами аналитики
66;crm
67;ms crm
68;функциональное тестирование
69;ms visio
70;английский язык
71;аналитические исследования
72;маркетинговый анализ
73;бизнес-анализ
74;аналитика
75;аналитическое мышление
76;моделирование бизнес процессов
77;анализ рынка
78;анализ бизнес показателей
79;деловое общение
80;работа в команде
81;atlassian jira
82;ведение переговоров
83;организаторские навыки
84;управление продуктом
85;управление персоналом
86;анализ данных
87;статистический анализ
88;digital marketing
89;crm
90;маркетинговый анализ
91;cms wordpress
92;adobe photoshop
93;ms powerpoint
94;ms outlook
95;html
96;css
97;adobe illustrator
98;adobe indesign
99;пользователь пк
100;работа в команде
101;воронка продаж
102;mailchimp
103;лидогенерация
104;проведение рекламных кампаний
105;joomla cms
106;создание сайтов
107;web-дизайн
108;bitrix
109;seo
110;оптимизация бизнес-процессов
111;ios
112;бизнес-анализ
113;постановка задач разработчикам
114;разработка инструкций
115;android
116;bitrix24
117;битрикс24
118;asterisk
119;crm
120;1с-битрикс
121;css
122;javascript
123;xml
124;php
125;sql
126;erp systems
127;project management
128;оптимизация бизнес-процессов
129;бизнес-анализ
130;моделирование бизнес процессов
131;бизнес-планирование
132;управление проектами
133;crm
134;1с: предприятие
135;ms project
136;управление проектами
137;английский язык
138;пользователь пк
139;поиск информации в интернет
140;умение работать в команде
141;исполнение личных поручений руководителя
142;деловое общение
143;электронная почта
144;исполнение поручений руководителя
145;деловая переписка
146;многозадачность
147;ms visio
148;разработка технических заданий
149;проектирование пользовательских интерфейсов
150;sql
151;uml
152;проектная документация
153;управление проектами
154;ms project
155;обучение и развитие
156;ms project expert
157;стратегический маркетинг
158;управление командой
159;планирование маркетинговых кампаний
160;управление бюджетом
161;английский язык
162;crm
163;ms excel
164;google analytics
165;ms access
166;atlassian jira
167;scrum
168;ms project
169;1с-битрикс
170;работа в команде
171;бизнес-анализ
172;google docs
173;аналитическое мышление
174;управление временем
175;слепая печать
176;1с-битрикс
177;ms excel
178;ms power bi
179;руководство коллективом
180;постановка задач разработчикам
181;базы данных
182;системное мышление
